ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-094,lote1237-1,"pointer finger, index finger, forefinger",hɛnou,,,Barlow2024
lote1237-1-095,lote1237-1,mountain; temple (of the head),hɛŋɛnɛ,,"cf. /it/ ‘highlands, mountain’",Barlow2024
lote1237-1-096,lote1237-1,tongue,hɛŋɛtau,"a-k hɛŋɛtau (1sg), a-m hɛŋɛtau (2sg), a-na hɛŋɛtau (3sg)",also [ɛŋɛtau],Barlow2024
lote1237-1-097,lote1237-1,to play,hɛsalaŋ,,possibly contains the causative prefix /hɛ-/,Barlow2024
lote1237-1-098,lote1237-1,"to choose, to pick",hɛsilɛi,,"possibly contains the causative prefix /hɛ-/; cf. /hɛnonou/ ‘to point out; to choose, to select’",Barlow2024
lote1237-1-099,lote1237-1,year; customary dance,hɛsiŋa,,possibly contains the causative prefix /hɛ-/; possibly related to /hes/ ‘to dance’,Barlow2024
lote1237-1-100,lote1237-1,to show,hɛteia,,"possibly contains the causative prefix /hɛ-/; cf. /ɛtei/ ‘to know’ (i.e., ‘to make know’)",Barlow2024
lote1237-1-101,lote1237-1,"today, now",hɛuɛu,,reduplication?,Barlow2024
lote1237-1-102,lote1237-1,new,hɛuɛuŋana,,‘now-ADJ’,Barlow2024
lote1237-1-103,lote1237-1,how many?,hia,,also [ia],Barlow2024
lote1237-1-104,lote1237-1,"to block, to tie",hit,hit-ɛ,"cf. /kale/ ‘to tie, to fasten’, /kale hit/ ‘to tie up’, /tom/ ‘to fix, to tie’, /tom hit/ ‘to tie up’",Barlow2024
lote1237-1-105,lote1237-1,tail,hoe-,"hoe-na (3sg), hoe-ria (3pl)",also [oe-],Barlow2024
lote1237-1-106,lote1237-1,left (not right),hoihoi,,reduplication?,Barlow2024
lote1237-1-107,lote1237-1,"out; to go out, to take out, to remove",hot,hot-ɛ,,Barlow2024
lote1237-1-108,lote1237-1,"cold, sickness",houhou,,also [ouou]; reduplication?,Barlow2024
lote1237-1-109,lote1237-1,base (of a tree),hu-,hu-na (3sg),,Barlow2024
lote1237-1-110,lote1237-1,"to turn over, to capsize",hul,hul-ia,cf. /hɛliliu/ ‘to turn’,Barlow2024
lote1237-1-111,lote1237-1,bandicoot,huloŋ,,,Barlow2024
